,lstm_units,num_layers,mlp_unit_0,mlp_dropout,mlp_activation,optimizer,loss,mlp_unit_1,mlp_unit_2,val_loss,val_mae,val_mse,score
87,96,3,64,0.1,elu,rmsprop,mean_absolute_error,128.0,128.0,0.17350614070892334,0.17350614070892334,0.0862610936164856,0.17350614070892334
88,256,3,128,0.30000000000000004,relu,rmsprop,mean_absolute_error,160.0,64.0,0.17366396635770798,0.17366396635770798,0.07661715522408485,0.17366396635770798
89,128,2,192,0.5,elu,rmsprop,mean_absolute_error,128.0,192.0,0.17478687316179276,0.17478687316179276,0.0794881209731102,0.17478687316179276
90,192,2,192,0.4,tanh,rmsprop,mean_absolute_error,160.0,160.0,0.175028994679451,0.175028994679451,0.09901405870914459,0.175028994679451
91,64,1,160,0.1,relu,sgd,mean_squared_error,96.0,128.0,0.17608775198459625,0.2516087293624878,0.17608775198459625,0.17608775198459625
92,96,1,192,0.1,tanh,rmsprop,mean_absolute_error,64.0,64.0,0.17716597765684128,0.17716597765684128,0.09434130042791367,0.17716597765684128
93,160,3,64,0.4,tanh,adam,mean_absolute_error,64.0,224.0,0.17723017185926437,0.17723017185926437,0.09939778596162796,0.17723017185926437
94,128,2,64,0.30000000000000004,relu,adam,mean_absolute_error,32.0,160.0,0.17817406356334686,0.17817406356334686,0.08115382492542267,0.17817406356334686
95,64,1,192,0.5,relu,adam,mean_absolute_error,224.0,224.0,0.17970938235521317,0.17970938235521317,0.09167477488517761,0.17970938235521317
96,96,2,64,0.4,relu,adam,mean_absolute_error,64.0,64.0,0.18004946410655975,0.18004946410655975,0.08954067900776863,0.18004946410655975
97,96,3,256,0.4,tanh,adam,mean_absolute_error,224.0,128.0,0.18269409984350204,0.18269409984350204,0.11469444260001183,0.18269409984350204
98,64,1,224,0.30000000000000004,relu,rmsprop,mean_absolute_error,128.0,32.0,0.18328261375427246,0.18328261375427246,0.09592977911233902,0.18328261375427246
99,96,2,160,0.5,relu,rmsprop,mean_absolute_error,160.0,256.0,0.1833241507411003,0.1833241507411003,0.0893995352089405,0.1833241507411003
100,32,3,160,0.1,elu,adam,mean_absolute_error,64.0,64.0,0.18366692960262299,0.18366692960262299,0.10475322231650352,0.18366692960262299
101,64,1,224,0.1,relu,rmsprop,mean_absolute_error,160.0,96.0,0.18537771701812744,0.18537771701812744,0.09552696347236633,0.18537771701812744
102,64,3,128,0.30000000000000004,tanh,adam,mean_absolute_error,192.0,96.0,0.1871901974081993,0.1871901974081993,0.11089865863323212,0.1871901974081993
103,192,3,64,0.5,tanh,adam,mean_absolute_error,32.0,224.0,0.18885795772075653,0.18885795772075653,0.1422097608447075,0.18885795772075653
104,32,1,224,0.5,tanh,rmsprop,mean_absolute_error,32.0,96.0,0.1920892670750618,0.1920892670750618,0.10973377525806427,0.1920892670750618
105,32,1,160,0.5,elu,rmsprop,mean_absolute_error,128.0,256.0,0.19274688512086868,0.19274688512086868,0.10538288950920105,0.19274688512086868
106,160,3,96,0.5,tanh,rmsprop,mean_absolute_error,32.0,64.0,0.19739177823066711,0.19739177823066711,0.18532472103834152,0.19739177823066711
107,64,3,32,0.1,relu,rmsprop,mean_absolute_error,32.0,256.0,0.1974944844841957,0.1974944844841957,0.10518927499651909,0.1974944844841957
108,32,2,64,0.1,elu,adam,mean_absolute_error,192.0,256.0,0.1977551057934761,0.1977551057934761,0.11251800879836082,0.1977551057934761
109,64,3,32,0.5,tanh,rmsprop,mean_absolute_error,64.0,192.0,0.19864191859960556,0.19864191859960556,0.16393060237169266,0.19864191859960556
110,32,3,256,0.4,tanh,rmsprop,mean_absolute_error,128.0,256.0,0.1993032619357109,0.1993032619357109,0.1299510970711708,0.1993032619357109
111,32,2,64,0.1,elu,adam,mean_absolute_error,96.0,64.0,0.20167548209428787,0.20167548209428787,0.12575636431574821,0.20167548209428787
112,128,2,32,0.2,relu,adam,mean_absolute_error,256.0,160.0,0.2031378075480461,0.2031378075480461,0.1006179079413414,0.2031378075480461
113,256,1,160,0.5,elu,sgd,mean_absolute_error,192.0,32.0,0.20619482547044754,0.20619482547044754,0.133400809019804,0.20619482547044754
114,192,2,192,0.4,tanh,sgd,mean_absolute_error,192.0,160.0,0.2095416560769081,0.2095416560769081,0.14123710244894028,0.2095416560769081
115,32,2,192,0.2,relu,adam,mean_absolute_error,128.0,160.0,0.2101273387670517,0.2101273387670517,0.12741442024707794,0.2101273387670517
116,256,1,96,0.5,tanh,sgd,mean_absolute_error,64.0,64.0,0.21213901787996292,0.21213901787996292,0.14905361831188202,0.21213901787996292
117,192,2,192,0.4,elu,sgd,mean_absolute_error,160.0,96.0,0.2121671736240387,0.2121671736240387,0.14471923559904099,0.2121671736240387
118,64,2,32,0.2,relu,rmsprop,mean_absolute_error,160.0,256.0,0.21305245161056519,0.21305245161056519,0.13701826333999634,0.21305245161056519
119,64,2,32,0.30000000000000004,relu,adam,mean_absolute_error,32.0,,0.21344345808029175,0.21344345808029175,0.13238095492124557,0.21344345808029175
120,224,3,256,0.2,elu,sgd,mean_absolute_error,96.0,96.0,0.21399080008268356,0.21399080008268356,0.1516379937529564,0.21399080008268356
121,192,1,96,0.30000000000000004,elu,sgd,mean_absolute_error,192.0,192.0,0.21442953497171402,0.21442953497171402,0.15145289152860641,0.21442953497171402
122,256,2,32,0.2,elu,sgd,mean_absolute_error,160.0,128.0,0.2146541103720665,0.2146541103720665,0.15749962627887726,0.2146541103720665
123,256,2,64,0.2,tanh,sgd,mean_absolute_error,32.0,96.0,0.21470264345407486,0.21470264345407486,0.17064369469881058,0.21470264345407486
124,224,1,128,0.4,relu,sgd,mean_absolute_error,160.0,,0.21561504900455475,0.21561504900455475,0.1492210328578949,0.21561504900455475
125,128,1,160,0.4,tanh,sgd,mean_absolute_error,224.0,224.0,0.21647334098815918,0.21647334098815918,0.16894587129354477,0.21647334098815918
126,224,1,256,0.4,relu,sgd,mean_absolute_error,64.0,64.0,0.21728941053152084,0.21728941053152084,0.1548418253660202,0.21728941053152084
127,64,3,224,0.4,elu,sgd,mean_absolute_error,128.0,96.0,0.2180265188217163,0.2180265188217163,0.17222360521554947,0.2180265188217163
