,number,value,datetime_start,datetime_complete,duration,params_C,params_coef0,params_degree,params_epsilon,params_gamma,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
44,44,1.80862598601556,2024-07-20 15:57:49.305839,2024-07-20 15:58:22.959863,0 days 00:00:33.654024,1.0,0.1,3,0.31622776601683794,scale,poly,44,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
45,45,0.6191851697276826,2024-07-20 15:58:23.327529,2024-07-20 15:59:10.103772,0 days 00:00:46.776243,1.0,1.0,3,0.31622776601683794,scale,poly,45,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
46,46,0.7577876683355482,2024-07-20 15:59:10.442792,2024-07-20 16:00:11.616743,0 days 00:01:01.173951,0.001,0.1,4,0.31622776601683794,scale,poly,46,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
47,47,15.354493956355276,2024-07-20 16:00:11.974720,2024-07-20 16:00:13.244813,0 days 00:00:01.270093,1.0,1.0,5,10.0,scale,poly,47,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
48,48,0.6153780949123339,2024-07-20 16:00:13.620958,2024-07-20 16:00:39.783005,0 days 00:00:26.162047,0.001,1.0,5,0.31622776601683794,scale,poly,48,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
49,49,,2024-07-20 16:00:40.320902,2024-07-20 16:02:42.407905,0 days 00:02:02.087003,1.0,1.0,5,0.01,scale,poly,49,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
50,50,15.354493956355276,2024-07-20 16:02:42.888200,2024-07-20 16:02:45.198135,0 days 00:00:02.309935,1000.0,1.0,4,10.0,scale,poly,50,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
51,51,,2024-07-20 16:02:45.823623,2024-07-20 16:04:47.818681,0 days 00:02:01.995058,1000.0,1.0,4,0.01,scale,poly,51,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
52,52,,2024-07-20 16:04:48.139361,2024-07-20 16:06:49.603638,0 days 00:02:01.464277,1.0,0.1,5,0.01,scale,poly,52,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
53,53,,2024-07-20 16:06:49.870220,2024-07-20 16:08:51.471719,0 days 00:02:01.601499,1000.0,1.0,3,0.31622776601683794,scale,poly,53,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
