,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
25,25,,2024-07-20 13:47:28.468858,2024-07-20 13:49:29.468555,0 days 00:02:00.999697,0.13894954943731375,0.1,linear,25,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
26,26,,2024-07-20 13:49:29.643862,2024-07-20 13:50:44.763936,0 days 00:01:15.120074,100.0,0.0001,linear,26,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
27,27,,2024-07-20 13:51:22.874954,2024-07-20 13:53:23.221728,0 days 00:02:00.346774,100.0,0.0001,linear,27,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
28,28,,2024-07-20 13:53:23.313471,2024-07-20 13:55:23.615962,0 days 00:02:00.302491,100.0,0.001,linear,28,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
29,29,15.354493956355276,2024-07-20 13:55:23.718590,2024-07-20 13:55:24.127113,0 days 00:00:00.408523,100.0,10.0,linear,29,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
30,30,,2024-07-20 13:55:24.247122,2024-07-20 13:57:24.642725,0 days 00:02:00.395603,0.13894954943731375,0.001,linear,30,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
31,31,0.2812068838884735,2024-07-20 13:57:24.842826,2024-07-20 13:57:37.245777,0 days 00:00:12.402951,0.7196856730011522,1.0,linear,31,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
32,32,0.25969858066718765,2024-07-20 13:57:37.376275,2024-07-20 13:58:22.601805,0 days 00:00:45.225530,0.02682695795279726,0.001,linear,32,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
33,33,15.354493956355276,2024-07-20 13:58:22.692187,2024-07-20 13:58:23.046621,0 days 00:00:00.354434,19.306977288832496,10.0,linear,33,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
34,34,0.281740894649079,2024-07-20 13:58:23.172804,2024-07-20 14:00:06.467033,0 days 00:01:43.294229,3.7275937203149416,1.0,linear,34,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
