,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
25,25,15.354493956355276,2024-07-20 14:46:05.127857,2024-07-20 14:46:06.851681,0 days 00:00:01.723824,0.001,10.0,scale,rbf,25,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
26,26,,2024-07-20 14:46:07.517948,2024-07-20 14:48:08.786985,0 days 00:02:01.269037,3.981071705534969,0.004641588833612782,scale,rbf,26,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
27,27,0.9240369743701939,2024-07-20 14:48:09.032837,2024-07-20 14:49:59.391936,0 days 00:01:50.359099,0.001,0.0001,scale,rbf,27,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
28,28,0.3605037879903006,2024-07-20 14:49:59.752943,2024-07-20 14:50:40.156077,0 days 00:00:40.403134,3.981071705534969,0.21544346900318845,auto,rbf,28,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
29,29,15.354493956355276,2024-07-20 14:50:40.610800,2024-07-20 14:50:42.176952,0 days 00:00:01.566152,63.0957344480193,10.0,auto,rbf,29,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
30,30,0.42893501273656887,2024-07-20 14:50:42.850824,2024-07-20 14:51:17.342843,0 days 00:00:34.492019,0.25118864315095796,0.21544346900318845,scale,rbf,30,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
31,31,,2024-07-20 14:51:17.844722,2024-07-20 14:53:19.569483,0 days 00:02:01.724761,1000.0,0.0001,auto,rbf,31,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
32,32,0.4397661293765082,2024-07-20 14:53:19.938931,2024-07-20 14:55:08.649858,0 days 00:01:48.710927,0.25118864315095796,0.004641588833612782,auto,rbf,32,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
33,33,,2024-07-20 14:55:08.995980,2024-07-20 14:57:09.831687,0 days 00:02:00.835707,3.981071705534969,0.0001,auto,rbf,33,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
34,34,,2024-07-20 14:57:10.066912,2024-07-20 14:59:11.175767,0 days 00:02:01.108855,3.981071705534969,0.0001,scale,rbf,34,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
