,y_true,y_pred
87,-15.0,-14.176548
88,-9.0,-15.766834
89,-9.0,-11.667706
90,-3.0,-13.754679
91,10.0,-11.056913
92,1.0,-10.601677
93,6.0,-8.360157
94,5.0,-4.355615
95,15.0,4.424422
96,5.0,3.064116
97,0.0,3.6868806
98,3.0,2.8107514
99,5.0,4.123671
100,26.0,-15.097593
101,-8.0,-29.611677
102,-156.0,-30.527428
103,-262.0,-60.930008
104,-351.0,-37.34249
105,-387.0,-159.11925
106,-346.0,-257.98636
107,-317.0,-348.0828
108,-292.0,-322.78833
109,-259.0,-234.99126
110,-249.0,-198.97426
111,-220.0,-178.35373
112,-222.0,-163.4797
113,-214.0,-174.29124
114,-247.0,-146.20929
115,-254.0,-157.83612
116,-269.0,-289.63467
117,-256.0,-270.21484
118,-284.0,-278.5674
119,-269.0,-248.67542
120,-233.0,-243.97313
121,-228.00000000000006,-214.2122
122,-213.0,-205.38887
123,-205.0,-182.41867
124,-193.0,-170.77255
125,-181.0,-155.28102
126,-166.0,-144.91379
127,-161.0,-139.55766
128,-162.0,-134.21806
129,-148.0,-124.72895
130,-138.0,-131.79938
131,-142.0,-141.16096
132,-142.0,-140.44312
133,-134.0,-130.97638
134,-126.0,-124.24993
135,-116.0,-120.04824
136,-110.0,-118.131714
137,-105.0,-111.97768
138,-98.0,-108.25956
139,-91.0,-102.52453
140,-87.0,-100.20439
141,-86.0,-96.390945
142,-80.0,-94.769264
143,-83.0,-92.10664
144,-91.0,-89.5801
145,-99.0,-88.70557
146,-99.0,-88.188515
147,-99.0,-91.26954
148,-101.0,-93.86161
149,-101.0,-94.72482
150,-99.0,-92.82551
151,-87.0,-91.8028
152,-86.0,-91.93195
153,-84.0,-90.84655
154,-78.0,-88.57115
155,-75.0,-84.2354
156,-61.0,-82.87642
157,-59.0,-80.15112
158,-56.0,-74.32921
159,-59.0,-72.55236
160,-66.0,-63.107826
161,-61.0,-60.35788
162,-60.0,-61.257374
163,-55.0,-61.160465
164,-48.0,-63.13034
165,-49.0,-62.23769
166,-43.0,-61.030354
167,-38.0,-58.046394
168,-42.0,-53.177197
169,-41.0,-47.933647
170,-36.0,-43.38049
171,-37.0,-39.706432
172,-34.0,-39.127598
173,-30.0,-38.93959
174,-32.0,-34.465027
175,-36.0,-32.4018
176,-35.0,-29.544025
177,-33.0,-29.46375
178,-30.0,-31.065552
179,-33.0,-29.624216
180,-32.0,-29.390898
181,-32.0,-27.933235
182,-28.0,-27.106207
183,-27.0,-27.439573
184,-25.0,-26.570879
185,-22.0,-25.520214
186,-28.0,-24.922426
187,-26.0,-26.104136
188,-20.0,-25.201998
189,-17.0,-25.383114
190,-18.0,-24.376825
191,-20.0,-21.915367
192,-23.0,-19.183285
193,-27.0,-17.018774
194,-25.0,-15.137617
195,-26.0,-16.916943
196,-25.0,-19.232704
197,-28.0,-19.711687
198,-25.0,-19.998283
199,-19.0,-20.106041
200,-13.0,-23.412277
201,-11.0,-19.806265
202,-7.0000000000000036,-20.023817
203,-7.0000000000000036,-16.605871
204,-8.0,-16.054926
205,-11.0,-13.841585
206,-9.0,-11.419403
207,-9.0,-10.4416065
208,15.0,-9.94248
209,7.0,-10.390818
210,-3.0,-9.012365
211,-6.0,-8.227528
212,-20.0,-14.014
213,-14.0,-24.04882
214,-22.0,-28.096552
215,-30.0,-27.349854
216,-31.0,-44.188354
217,-29.0,-39.507576
218,-28.0,-37.147278
219,-32.0,-37.291798
220,-36.0,-38.700634
221,-36.0,-36.25953
222,-34.0,-30.365175
223,-36.0,-29.177908
224,-50.0,-31.501387
225,-68.0,-63.176144
226,-71.0,-63.186478
227,-75.0,-60.18226
228,-75.0,-63.34216
229,-68.0,-64.74486
230,-64.0,-65.81374
231,-57.0,-67.77785
232,-53.0,-67.66314
233,-48.0,-64.97215
234,-53.0,-66.51547
235,-40.0,-62.95387
236,-41.0,-60.57937
237,-39.0,-56.242
238,-45.0,-55.560627
239,-43.0,-54.020775
240,-38.0,-48.933807
241,-33.0,-48.11794
242,-35.0,-47.50181
243,-40.0,-43.556377
244,-38.0,-43.519695
245,-35.0,-39.434563
246,-30.0,-36.09344
247,-30.0,-35.722218
248,-28.0,-37.401703
249,-29.0,-33.03768
250,-32.0,-29.823217
251,-35.0,-28.601534
252,-36.0,-26.41568
253,-36.0,-26.12692
254,-37.0,-27.775284
255,-34.0,-29.80839
256,-35.0,-30.879623
257,-33.0,-30.521988
258,-35.0,-32.06231
259,-34.0,-31.095755
260,-37.0,-31.008575
261,-37.0,-30.341534
262,-38.0,-32.118244
263,-38.0,-31.043705
264,-35.0,-32.467995
265,-30.0,-30.093378
266,-29.0,-32.099327
267,-29.0,-32.044125
268,-30.0,-30.691051
269,-25.0,-28.29167
270,-22.0,-27.611544
271,-21.0,-26.651434
272,-20.0,-25.819052
273,-21.0,-24.656473
274,-25.0,-23.24455
275,-30.0,-22.116806
276,-33.0,-21.16345
277,-36.0,-22.229502
278,-36.0,-25.02569
279,-34.0,-28.75828
280,-32.0,-30.616842
281,-31.0,-31.810478
282,-30.0,-27.658073
283,-24.0,-26.088814
284,-21.0,-27.817366
285,-19.0,-25.41748
286,-22.0,-22.840767
287,-21.0,-21.435095
288,-20.0,-23.176704
289,-17.0,-22.602032
290,-18.0,-19.62112
291,-22.0,-21.046217
292,-22.0,-19.149721
293,-20.0,-20.40546
294,-20.0,-17.558674
295,-19.0,-19.789797
296,-19.0,-21.988071
297,-19.0,-19.044008
298,-19.0,-18.7615
299,-21.0,-18.434975
300,-25.0,-16.309484
301,-30.0,-15.600538
302,-29.0,-17.418125
303,-25.0,-21.221403
304,-21.0,-21.33857
305,-24.0,-21.813242
306,-25.0,-22.87823
307,-22.0,-21.790363
308,-15.0,-21.47292
309,-12.000000000000004,-20.291794
310,-12.000000000000004,-20.27204
311,-14.0,-18.154566
312,-14.0,-14.340551
313,-14.0,-11.399387
314,-13.0,-12.019489
315,-18.0,-12.058399
316,-18.0,-12.456823
317,-12.000000000000004,-12.193151
318,-14.0,-11.931929
319,-18.0,-15.616573
320,-18.0,-15.634211
321,-18.0,-14.111164
322,-21.0,-15.285431
323,-29.0,-16.775913
324,-25.0,-13.219072
325,-8.0,-15.041615
326,-24.0,-21.523123
327,-49.0,-21.71021
328,-94.0,-18.957905
329,-104.0,-49.80414
330,-114.0,-106.43175
331,-109.0,-125.56242
332,-102.0,-94.656876
333,-83.0,-112.61556
334,-74.0,-99.00183
335,-72.0,-93.81757
336,-68.0,-83.5546
337,-67.0,-71.25641
338,-69.0,-64.128876
339,-71.0,-61.483547
340,-73.0,-55.4092
341,-71.0,-55.878246
342,-68.0,-55.297695
343,-71.0,-57.744476
344,-69.0,-58.984238
345,-67.0,-60.906643
346,-66.0,-59.98223
347,-70.0,-60.68436
348,-73.0,-60.28661
349,-78.0,-57.600418
350,-71.0,-55.46889
351,-62.0,-57.30374
352,-59.0,-61.749916
353,-55.0,-62.97095
354,-50.0,-59.214577
355,-44.0,-52.975502
356,-40.0,-51.32996
357,-37.0,-48.08388
358,-38.0,-45.10837
359,-38.0,-40.13518
360,-35.0,-35.85859
361,-31.0,-35.040203
362,-31.0,-32.28193
363,-31.0,-32.253937
364,-31.0,-32.677208
365,-27.0,-29.605288
366,-20.0,-26.685898
367,-22.0,-25.360052
368,-23.0,-24.82092
369,-25.0,-22.386183
370,-26.0,-19.88101
371,-27.0,-20.902275
372,-30.0,-22.086233
373,-29.0,-24.116875
374,-33.0,-23.794828
375,-34.0,-26.00942
376,-29.0,-27.701857
377,-24.0,-30.122356
378,-24.0,-29.335743
379,-22.0,-29.87724
380,-18.0,-27.39582
381,-19.0,-25.541712
382,-20.0,-23.228184
383,-24.0,-21.143166
384,-25.0,-21.28108
385,-21.0,-19.047735
386,-17.0,-19.293985
387,-18.0,-20.739462
388,-19.0,-21.032171
389,-14.0,-18.940733
390,-13.0,-15.344341
391,-14.0,-16.193258
392,-13.0,-15.642046
393,-13.0,-13.465755
394,-15.0,-12.24922
395,-12.000000000000004,-11.4487705
396,-10.0,-10.8271885
397,-13.0,-11.5646
398,-14.0,-12.622431
399,-13.0,-11.341106
400,-12.000000000000004,-9.501877
401,-8.0,-10.940477
402,-5.0,-12.217346
403,-1.9999999999999964,-10.130447
404,-1.0,-10.147211
405,-3.0,-5.186086
406,-6.0,-3.5971923
407,-7.0000000000000036,-0.8010001
408,-6.0,-2.747499
409,-7.0000000000000036,-2.8803134
410,-9.0,-4.765331
411,-11.0,-6.3646636
412,8.0,-5.7316833
413,11.0,-5.539989
414,10.0,-5.029777
415,11.0,-4.10395
416,11.0,-1.2348762
417,12.000000000000007,0.3804803
418,12.000000000000007,1.3390298
419,8.0,0.18570185
420,4.0,-10.602352
421,-4.0,-3.897201
422,-9.0,-5.7639976
423,-17.0,-3.9434104
424,-21.0,-4.6721835
425,-18.0,-7.0902495
426,-25.0,-21.936783
427,-36.0,-31.674831
428,-35.0,-26.923056
429,-41.0,-41.818222
430,-43.0,-48.847878
431,-50.0,-53.93515
432,-64.0,-56.38786
433,-79.0,-58.808784
434,-92.0,-62.14789
435,-102.0,-60.143246
436,-93.0,-68.80461
437,-84.0,-74.340454
438,-77.0,-79.25566
439,-83.0,-82.37624
440,-85.0,-76.644516
441,-89.0,-71.937706
442,-87.0,-65.93285
443,-80.0,-68.027084
444,-72.0,-70.93753
445,-71.0,-69.00472
446,-74.0,-66.486206
447,-80.0,-62.413097
448,-83.0,-58.81978
449,-78.0,-59.12638
450,-66.0,-66.29978
451,-69.0,-69.27699
452,-74.0,-64.18654
453,-78.0,-63.491356
454,-76.0,-58.100155
455,-60.0,-63.607765
456,-53.0,-72.82514
457,-53.0,-60.02528
458,-57.0,-54.710083
459,-55.0,-46.666565
460,-48.0,-42.92015
461,-40.0,-43.13785
462,-34.0,-42.58315
463,-33.0,-41.00906
464,-30.0,-38.959457
465,-32.0,-33.84606
466,-32.0,-31.685364
467,-30.0,-27.97519
468,-29.0,-25.077288
469,-29.0,-24.319935
470,-27.0,-23.635397
471,-28.0,-23.30773
472,-29.0,-21.685198
473,-33.0,-21.24117
474,-40.0,-20.894564
475,-39.0,-27.485209
476,-36.0,-29.338655
477,-35.0,-38.056152
478,-28.0,-35.488674
479,-26.0,-35.49759
480,-29.0,-34.43081
481,-30.0,-29.446844
482,-31.0,-27.564812
483,-30.0,-26.661785
484,-29.0,-25.515852
485,-24.0,-26.13658
486,-24.0,-26.342554
487,-25.0,-24.835178
488,-23.0,-24.268908
489,-21.0,-21.850046
490,-17.0,-20.437334
491,-19.0,-20.31831
492,-20.0,-19.884262
493,-21.0,-18.54503
494,-21.0,-16.19511
495,-18.0,-17.139475
496,-16.0,-20.764633
497,-13.0,-16.121103
498,-11.0,-16.860367
499,-8.0,-14.737848
500,-7.0000000000000036,-14.01092
501,-9.0,-12.478876
502,-3.0,-11.049519
503,-1.0,-10.303196
504,-4.0,-11.00206
505,-5.0,-9.179968
506,0.0,-5.274137
507,3.0,-9.913124
508,1.0,-7.2830615
509,1.0,-7.005649
510,-1.9999999999999964,-3.6395698
511,-1.9999999999999964,-5.195646
512,4.0,-5.114879
513,4.0,-4.421682
514,0.0,-7.6677527
515,0.0,-2.7160392
516,-4.0,-0.19835806
517,-5.0,0.6221185
518,-1.9999999999999964,0.41971064
519,-3.0,-0.5787978
520,-3.0,-1.8853583
521,-8.0,-2.9042811
522,-11.0,-3.1214175
523,-10.0,-2.9912639
524,-11.0,-6.257507
525,-6.0,-6.3567805
526,-7.0000000000000036,-9.071323
527,-8.0,-8.971294
528,-5.0,-10.102215
529,-4.0,-8.613142
530,-5.0,-8.161348
531,-4.0,-7.0655303
532,-6.0,-5.5501323
533,-5.0,-4.6966643
534,-3.0,-3.3196769
535,-1.9999999999999964,-2.582605
536,-4.0,-2.1611724
537,-5.0,-2.6300788
538,-6.0,-2.9082732
539,-9.0,-5.3493476
540,-10.0,-3.829309
541,-8.0,-3.2390094
542,-9.0,-5.18914
543,-9.0,-6.4860644
544,-4.0,-7.359092
545,-1.0,-8.32272
546,0.0,-10.087656
547,2.0,-6.89928
548,0.0,-4.9364276
549,-1.0,-3.153482
550,-4.0,-2.9704852
551,-4.0,-1.6263099
552,-4.0,-0.7982688
553,0.0,-0.9843726
554,2.0,-2.3635192
555,-26.0,-29.136787
556,-20.0,-26.440416
557,-14.0,-25.19969
558,-6.0,-26.285639
559,-4.0,-25.254284
560,-13.0,-20.306461
561,-13.0,-19.904291
562,-9.0,-10.029949
563,-12.000000000000004,-9.956064
564,-10.0,-12.41337
565,-9.0,-13.402332
566,-9.0,-14.003862
567,-8.0,-12.616844
568,-7.0000000000000036,-12.611378
569,-1.0,-12.500889
570,5.0,-12.475956
571,-5.0,-8.866041
572,-15.0,-11.562832
573,-10.0,-12.024395
574,-11.0,-25.690714
575,-12.000000000000004,-21.021257
576,-11.0,-12.270781
577,-11.0,-10.390375
578,-14.0,-9.313765
579,-13.0,-8.619989
580,-12.000000000000004,-8.049376
581,-9.0,-6.804876
582,-4.0,-6.6984897
583,1.0,-7.9176116
584,6.0,-5.1351123
585,6.0,-4.1085944
586,4.0,-1.8047137
587,1.0,1.5302911
588,-1.9999999999999964,6.807551
589,-3.0,9.559919
590,-8.0,9.201948
591,-9.0,5.042872
592,-10.0,3.1232705
593,-10.0,3.8411584
594,-11.0,1.7949739
595,-10.0,-1.1753783
596,-9.0,-6.6277843
597,-9.0,-11.1807785
598,-11.0,-17.696
599,-18.0,-11.780802
600,-16.0,-9.555475
601,-17.0,-12.15877
602,-21.0,-17.830284
603,-23.0,-20.774752
604,-17.0,-13.201015
605,-14.0,-15.337372
606,-15.0,-14.410622
607,-17.0,-11.739561
608,-15.0,-14.543283
609,-14.0,-13.287476
610,-14.0,-14.080233
611,-14.0,-17.559898
612,-6.0,-11.240795
613,-1.9999999999999964,-14.233946
614,0.0,-14.985796
615,-3.0,-8.081793
616,-1.9999999999999964,-3.4081302
617,1.0,-0.32062674
618,1.0,1.4729829
619,0.0,2.1131425
620,-1.9999999999999964,2.571341
621,-4.0,3.0849214
622,-4.0,2.7147317
623,-3.0,0.37415934
624,-5.0,1.566462
625,-8.0,-1.1513953
626,-6.0,-6.6449866
627,-3.0,-5.2672057
628,-6.0,-8.928139
629,-7.0000000000000036,-13.221432
630,-10.0,-10.827684
631,-9.0,-10.989857
632,-4.0,-13.240839
633,-4.0,-13.047934
634,-10.0,-10.949139
635,-10.0,-6.65669
636,-1.0,-5.3382773
637,-1.0,-12.829716
638,-15.0,-2.9426723
639,-25.0,-1.9850688
640,0.0,0.09236001
641,-21.0,-30.430588
642,-47.0,-39.456486
643,-34.0,-43.424324
644,-60.0,-32.492046
645,-87.0,-99.24941
646,-98.0,-77.46389
647,-87.0,-92.93163
648,-87.0,-122.00365
649,-74.0,-110.81526
650,-77.0,-97.08914
651,-74.0,-90.53663
652,-70.0,-80.137985
653,-53.0,-65.16357
654,-65.0,-60.440372
655,-78.0,-56.572136
656,-87.0,-53.711617
657,-101.0,-45.94217
658,-113.0,-64.64874
659,-112.0,-90.90842
660,-127.0,-98.11878
661,-116.0,-109.351906
662,-111.0,-113.8833
663,-121.0,-110.68454
664,-124.0,-116.160255
665,-103.0,-107.66813
666,-107.0,-103.83125
667,-109.0,-105.91929
668,-105.0,-102.3618
669,-109.0,-95.31259
670,-108.0,-94.516014
671,-113.0,-96.219826
672,-113.0,-97.34801
673,-116.0,-102.05833
674,-114.0,-103.90689
675,-104.0,-99.52858
676,-94.0,-96.99115
677,-86.0,-97.78532
678,-72.0,-97.90267
679,-59.0,-92.85628
680,-47.0,-87.33486
681,-55.0,-83.14063
682,-62.0,-76.46303
683,-62.0,-67.55931
684,-62.0,-64.02457
685,-52.0,-61.657883
686,-41.0,-64.56632
687,-50.0,-62.93246
688,-50.0,-61.663643
689,-64.0,-60.164318
690,-88.0,-76.80422
691,-98.0,-66.26123
692,-93.0,-75.272285
693,-101.0,-74.296326
694,-116.0,-74.734
695,-126.0,-78.33316
696,-115.0,-92.67122
697,-114.0,-102.715675
698,-124.0,-108.42486
699,-110.0,-108.81791
700,-102.0,-92.63555
701,-94.0,-84.368195
702,-96.0,-84.627304
703,-87.0,-82.0115
704,-93.0,-81.689445
705,-103.0,-79.44012
706,-141.0,-103.00382
707,-148.0,-91.84108
708,-144.0,-115.186035
709,-149.0,-129.06235
710,-143.0,-122.51953
711,-121.0,-122.12177
712,-111.0,-118.05969
713,-107.0,-114.067314
714,-103.0,-110.995026
715,-101.0,-103.691795
716,-102.0,-97.08921
717,-101.0,-92.66371
718,-98.0,-97.04029
719,-102.0,-100.27974
720,-77.0,-100.943344
721,-80.0,-99.471695
722,-87.0,-93.47633
723,-85.0,-89.87792
724,-79.0,-78.726135
725,-74.0,-75.592026
726,-65.0,-72.61196
727,-54.0,-69.02563
728,-59.0,-66.05747
729,-59.0,-60.608387
730,-57.0,-55.45533
731,-53.0,-53.43523
732,-47.0,-50.29965
733,-44.0,-50.024906
734,-46.0,-49.515198
735,-49.0,-46.9653
736,-48.0,-42.956585
737,-50.0,-41.057686
738,-52.0,-40.097694
739,-51.0,-40.65354
740,-49.0,-40.307514
741,-47.0,-40.113766
742,-41.0,-42.56735
743,-40.0,-42.1398
744,-38.0,-40.438618
745,-39.0,-38.349586
746,-41.0,-35.108948
747,-44.0,-35.305264
748,-46.0,-35.899815
749,-47.0,-37.168827
750,-45.0,-36.27777
751,-51.0,-39.586468
752,-55.0,-46.354908
753,-48.0,-42.055386
754,-53.0,-46.599663
755,-45.0,-49.33188
756,-38.0,-53.62865
757,-35.0,-44.25242
758,-37.0,-45.8574
759,-37.0,-39.76069
760,-39.0,-31.971273
761,-36.0,-30.062267
762,-32.0,-36.222347
763,-31.0,-35.502117
764,-32.0,-31.079544
765,-35.0,-29.380867
766,-40.0,-27.357399
767,-38.0,-28.44471
768,-38.0,-36.24923
769,-38.0,-34.78686
770,-41.0,-30.9418
771,-41.0,-29.620222
772,-36.0,-30.194443
773,-32.0,-29.2882
774,-29.0,-32.96944
775,-27.0,-30.586378
776,-26.0,-28.045294
777,-17.0,-26.316404
778,-6.0,-24.969976
779,-18.0,-23.506865
780,-36.0,-23.357311
781,-56.0,-19.490473
782,-43.0,-27.225399
783,-42.0,-35.074146
784,-48.0,-61.84779
785,-50.0,-61.035927
786,-53.0,-58.7046
787,-53.0,-48.60638
788,-57.0,-44.066418
789,-53.0,-44.308094
790,-42.0,-43.524574
791,-45.0,-45.17776
792,-45.0,-51.96702
793,-46.0,-46.101673
794,-48.0,-41.382233
795,-42.0,-41.0268
796,-38.0,-40.332798
797,-37.0,-42.73091
798,-39.0,-44.213867
799,-39.0,-42.75958
800,-40.0,-40.228874
801,-38.0,-38.606842
802,-34.0,-34.412964
803,-29.0,-34.696136
804,-25.0,-35.324684
805,-24.0,-33.442772
806,-24.0,-31.82292
807,-24.0,-27.531645
808,-26.0,-23.543434
809,-29.0,-23.756922
810,-28.0,-23.518276
811,-25.0,-22.571205
812,-25.0,-25.96527
813,-27.0,-26.779364
814,-27.0,-25.074095
815,-26.0,-23.514954
816,-27.0,-25.956041
817,-31.0,-25.569613
818,-35.0,-24.306046
819,-34.0,-21.993883
820,-32.0,-25.608397
821,-30.0,-29.51674
822,-28.0,-25.940006
823,-28.0,-26.229776
824,-26.0,-26.830248
825,-25.0,-25.740398
826,-23.0,-22.603867
827,-20.0,-23.841791
828,-18.0,-23.95149
829,-12.000000000000004,-15.164501
830,-12.000000000000004,-18.93033
831,-10.0,-16.154945
832,-12.000000000000004,-11.865688
833,-15.0,-9.740652
834,-18.0,-9.276684
835,-16.0,-7.8640494
836,-12.000000000000004,-8.806051
837,-13.0,-10.903904
838,-9.0,-13.465626
839,-1.0,-10.77054
840,1.0,-9.67115
841,3.0,-9.895069
842,-3.0,-7.82982
843,-11.0,-4.1707473
844,-17.0,-3.8645263
845,-18.0,-4.2559505
846,-23.0,-10.235167
847,-28.0,-18.514374
848,-30.0,-22.722738
849,-26.0,-28.105173
850,-27.0,-33.081356
851,-26.0,-28.646639
852,-20.0,-28.127567
853,-18.0,-27.053669
854,-20.0,-23.627733
855,-25.0,-17.95189
856,-32.0,-16.87197
857,-31.0,-16.515327
858,-26.0,-28.372858
859,-24.0,-29.822672
860,-19.0,-27.438717
861,-18.0,-31.528233
862,-15.0,-28.091707
863,-21.0,-20.34138
864,-18.0,-22.220226
865,-9.0,-15.018082
866,-5.0,-24.711437
867,-6.0,-17.218092
868,-6.0,-14.844873
869,-8.0,-9.53253
870,-6.0,-8.794699
871,-6.0,-8.249655
872,-10.0,-6.7910705
873,-12.000000000000004,-0.9897971
874,-11.0,-1.6434264
875,-8.0,-8.06374
876,-7.0000000000000036,-12.822418
877,-10.0,-7.5937896
878,-10.0,-7.380443
879,-20.0,-6.436214
880,-21.0,-11.186262
881,-22.0,-10.195162
882,-23.0,-21.982607
883,-24.0,-29.383747
884,-27.0,-30.567547
885,-24.0,-27.431763
886,-30.0,-32.294754
887,-22.0,-32.196156
888,-11.0,-24.706373
889,-7.0000000000000036,-29.65256
890,-9.0,-21.061584
891,-14.0,-15.331188
892,-12.000000000000004,-13.2421055
893,-13.0,-10.0383
894,-10.0,-11.428272
895,-9.0,-19.370497
896,-8.0,-18.01073
897,-7.0000000000000036,-9.310724
898,-8.0,-5.5946727
899,-7.0000000000000036,-7.7014956
900,-7.0000000000000036,-4.6071925
901,-8.0,-6.0238185
902,-7.0000000000000036,-3.2943778
903,-7.0000000000000036,-2.444614
904,-7.0000000000000036,-3.937183
905,-8.0,-4.4989047
906,-6.0,-2.9481082
907,-4.0,-5.228328
908,-1.0,-2.2707973
909,1.0,-6.211229
910,7.0,-5.606237
911,14.0,-4.235336
912,18.0,-2.566625
913,17.0,0.09254693
914,19.0,3.0711236
915,21.0,6.391436
916,22.000000000000007,10.665991
917,21.0,11.569956
918,20.0,12.751738
919,20.0,12.940348
920,19.0,13.175543
921,19.0,12.468592
922,19.0,10.527945
923,22.000000000000007,10.576998
924,23.0,9.054235
925,19.0,6.529513
926,11.0,5.9081483
927,14.0,7.317076
928,3.0,7.409102
929,-4.0,3.1851487
930,-1.9999999999999964,0.63566446
931,-7.0000000000000036,-10.341091
932,-55.0,-13.243122
933,-96.0,-18.125515
934,-109.0,-15.354229
935,-108.0,-89.218216
936,-104.0,-112.4214
937,-98.0,-116.76725
938,-95.0,-85.91008
939,-99.0,-89.04499
940,-92.0,-82.884834
941,-78.0,-87.039345
942,-73.0,-105.452095
943,-70.0,-91.59935
944,-75.0,-86.028244
945,-75.0,-71.151276
946,-76.0,-68.56287
947,-73.0,-73.153915
948,-77.0,-68.763
949,-70.0,-75.28626
950,-66.0,-77.93406
951,-64.0,-68.032906
952,-58.0,-66.904366
953,-52.0,-61.676388
954,-48.0,-61.12018
955,-47.0,-60.95296
956,-49.0,-56.18946
957,-45.0,-53.39283
958,-46.0,-48.65415
959,-45.0,-48.333355
960,-45.0,-46.100975
961,-43.0,-47.801746
962,-42.0,-45.823036
963,-39.0,-44.2804
964,-38.0,-44.427383
965,-41.0,-40.475956
966,-41.0,-38.5514
967,-42.0,-37.219467
968,-44.0,-35.73151
969,-41.0,-37.347446
970,-39.0,-38.58145
971,-40.0,-41.658474
972,-41.0,-42.330166
973,-39.0,-40.350876
974,-38.0,-38.658737
975,-34.0,-35.88585
976,-29.0,-36.643124
977,-29.0,-35.68904
978,-26.0,-35.08476
979,-24.0,-30.180006
980,-27.0,-28.73682
981,-33.0,-27.286549
982,-32.0,-23.605085
983,-28.0,-22.236092
984,-26.0,-26.385185
985,-25.0,-28.835678
986,-22.0,-28.508747
987,-22.0,-27.092674
988,-28.0,-25.164444
989,-32.0,-28.363197
990,-38.0,-24.53781
991,-44.0,-23.564022
992,-39.0,-24.222818
993,-33.0,-30.288239
994,-30.0,-32.127678
995,-33.0,-34.174416
996,-33.0,-30.048449
997,-35.0,-26.068302
998,-36.0,-28.318695
999,-30.0,-26.402357
1000,-27.0,-29.022923
1001,-27.0,-31.34542
1002,-31.0,-32.099632
1003,-35.0,-28.725302
1004,-39.0,-28.281418
1005,-38.0,-29.434309
1006,-38.0,-31.387762
1007,-39.0,-35.6493
1008,-41.0,-35.455654
1009,-36.0,-32.893208
1010,-36.0,-41.70496
1011,-33.0,-40.92903
1012,-30.0,-36.545666
1013,-28.0,-38.32536
1014,-30.0,-37.261585
1015,-34.0,-30.681185
1016,-45.0,-32.317818
1017,-47.0,-31.451363
1018,-79.0,-37.448143
1019,-138.0,-48.93702
1020,-142.0,-54.18274
1021,-125.00000000000001,-52.216496
1022,-135.0,-208.15071
1023,-149.0,-127.09591
1024,-177.0,-126.13161
1025,-181.0,-115.57739
1026,-165.0,-117.335625
1027,-152.0,-146.4404
1028,-153.0,-159.0971
1029,-149.0,-154.65526
1030,-127.0,-141.73128
1031,-112.0,-135.99937
1032,-107.0,-125.100174
1033,-102.0,-119.594536
1034,-95.0,-108.926315
1035,-88.0,-100.19371
1036,-84.0,-93.7428
1037,-84.0,-90.30449
1038,-83.0,-84.7025
1039,-82.0,-78.829025
1040,-79.0,-73.33622
1041,-78.0,-71.3242
1042,-71.0,-69.22961
1043,-66.0,-67.597855
1044,-65.0,-66.15868
1045,-64.0,-64.33475
1046,-76.0,-63.094517
1047,-79.0,-59.80497
1048,-75.0,-57.547222
1049,-71.0,-72.08393
1050,-70.0,-65.387924
1051,-69.0,-64.799866
1052,-68.0,-66.012474
